Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
000-074-975-918-316,"Vrystaatse sandsteenkerkgeboue van die Afrikaanse Gereformeerde kerke, asook die NG Kerk in Afrika en die Verenigende Gereformeerde Kerk : sandsteen as boumateriaal",2006-03-01,2006,,,,,,D.A. Van der Bank,"The 39 sandstone churches discussed in this article form part of a survey conducted during June and July 2005 in 36 Free State towns and districts. Sandstone church buildings of all the Christian denominations were included in this survey, however, due to practical reasons, only the Afrikaans churches. such as the Dutch Reformed Church, the Reformed Church and the Nederduitsch Hervormde Kerk, as well as the Dutch Reformed Church in Africa and the Uniting Reformed Church in Southern Africa, are included in this article. The history and architecture of the respective church buildings, as well as the distribution, quarrying and use of sandstone as a building material, are discussed.",22,2,20,22,Architecture; Engineering; Theology; Free state; Classics,,,,,https://journals.co.za/content/nnm/22/2/AJA00679208_1297,https://journals.co.za/content/nnm/22/2/AJA00679208_1297,,,2568415710,,0,,0,false,,
000-346-366-620-262,'From places of despair to spaces of hope' - the local church and health promotion in Victoria,,,dissertation,,,,,Darshini Ayton,"Although the phenomenon of church-based health promotion has received academic and government attention in the US, the cultural, social and religious characteristics of this society differ to those of Australia, and consequently the literature describing this is not generalisable. Churches and church affiliated organisations have worked to address factors, now regarded as social determinants of health, throughout Australia’s history, but there has been little research on the role of the church in health promotion in Australia. The aim of the study reported in this dissertation was to investigate the mission and practices of local churches in Victoria to determine whether these align with health promotion principles and approaches. In this dissertation, drawing on conceptual frameworks of health promotion, I explore how churches understand their mission and give expression to it through addressing the social determinants of health. I also consider how and why churches are involved in partnerships and collaborations for health, and the tensions, challenges and limitations to local churches undertaking health promotion activities. Theological discourses related to church mission, biblical interpretation and church expression have also informed my study. The research was exploratory and used a qualitative research methodology consisting of three phases. Phase one entailed a document mapping exercise of the partnership networks and funding sources of local churches and church affiliated organisations, as well as conducting in-depth interviews with the directors of five church affiliated organisations and five ministers of local churches to identify key themes of church-based health promotion. In phase two, semi-structured telephone interviews were conducted with staff members from 25 local churches in rural and urban Victoria, representing six Christian denominations (Anglican, Baptist, Catholic, Churches of Christ, Uniting, and Salvation Army). Based on findings from these two phases, ten local churches representing five different health promotion approaches were chosen as case studies for further exploration in phase three. This involved participant observation of church activities and programs, interviews with church staff, focus groups with volunteers, and document analysis. The study findings, theological underpinnings and conceptual basis of this thesis were used to construct a typology of churches for health promotion action. Six variables associated with church involvement in health promotion were identified: church expression (traditional, new modern or emerging); the minister's understanding of health; church hierarchy; community engagement; partnerships; and church mission (evangelism-focussed versus Kingdom of God focussed). The typology reflects the characteristics of churches operating at different levels of health promotion action, and highlights the health promoting nature of various church activities and programs. Not all churches, however, had an ethos that supports the values of health promotion, nor the structures and systems to implement health promotion activities effectively. In this study, I make a unique contribution to public health by developing a typology to guide health promotion practitioners engaging with local churches, while acknowledging the challenges and barriers to church involvement in health promotion.",,,,,Public health; Government; Political science; Health promotion; Participant observation; Community engagement; Local church; Public relations; Focus group; Social determinants of health,,,,,https://bridges.monash.edu/articles/thesis/_From_places_of_despair_to_spaces_of_hope_-_the_local_church_and_health_promotion_in_Victoria/4628308/1,http://dx.doi.org/10.4225/03/589a6f353dfae,,10.4225/03/589a6f353dfae,1516455831,,0,,0,false,,
000-415-731-936-721,教會會友參與動機、心理幸福感、教會參與與教義瞭解之關係－以基督教台灣貴格會為例,,2014,,,,,,null 陳得祿,"ABSTRACT This study aimed to investigate the church members' ""participation motives"", ""psychological well-being"", ""church participation"", ""doctrines understanding"" and ""Christian faith involvement"" of relationships, selecting TAIWAN FRIENDS MISSION’s 8 churches members of North one area、North two area and North three area 42 churches as the abject to questionnaires, in order to encourage church members to participate church activities or services, enhance doctrines understanding and the church's growth strategy reference. Total of 855 copies issued by the formal questionnaire, 645 copies had returned, the return rate 75.44%, 618 copies of valid questionnaires, questionnaires efficiency 95.81%. The results showed that the church members' ""participation motives"" for ""church participation"" and ""doctrines understanding"" has a positive effect, the church members' ""participation motives"" for "" psychological well-being"" has a positive effect, which, when church members ""participation motives"" via ""psychological well-being"" of the consideration, it will enhance the church members ""church participation"" and ""doctrines understanding"" has a positive effect, The Christian faith involvement will adjust ""participation motives"" for ""psychological well-being"", ""church participation"" and ""doctrines understanding "" the effects. The study also for the church demographic variables for-analysis of the differences each aspects, found that age, family life cycle, baptized status, participating church activities or service frequency and whether as coworkers in the church which there are differences were significant in level conditions. After cross-analysis the level of involvement of the Christian faith with demographic variables, found in age, family life cycle, baptized status, participating church activities or service frequency, whether served as coworkers in the church and brothers and sisters are Christians which there are differences were significant in level conditions. This study found that as a church to enhance church members' ""church participation"" and ""doctrinal understanding"" for the purpose, as intended by church for church members growth strategy reference. Keywords: Participation motives, Psychological Well-being, Church participation, Doctrines understanding, Christian faith involvement",,,1,88,Sociology; Order (virtue); Service (business); Christian faith; Family life cycle; Christian ministry; Social psychology,,,,,https://www.airitilibrary.com/Publication/alDetailedMesh1?DocID=U0023-2811201414220053,https://www.airitilibrary.com/Publication/alDetailedMesh1?DocID=U0023-2811201414220053,,,2336313707,,0,,0,false,,
000-438-943-348-018,Research of Qingdao St. Emel church,,2008,,,,,,Liu Mi,"Combined with the changes of history,it introduces Qingdao St.Emel church,makes a research on its lane setting and facade style,discusses the inner space and the decoration of church,analyses the construction technique of this church and puts forward opinions on church protection,so as to improve the research and protection of church architecture.",,,,,Architecture; Art; Visual arts; Style (visual arts); Space (commercial competition); Facade,,,,,https://en.cnki.com.cn/Article_en/CJFDTOTAL-JZSX200823019.htm,https://en.cnki.com.cn/Article_en/CJFDTOTAL-JZSX200823019.htm,,,2366879477,,0,,0,false,,
000-539-854-855-889,WHATEVER HAPPENED TO THE COVENANT COMMUNITY?: Baptist church meetings in the nineteenth century,,2008,journal article,Baptist Quarterly,0005576x; 20567731,Informa UK Limited,,Malcolm J. Egner,Church meetings changed dramatically with the adoption of a business style in the nineteenth century. The change is examined as it appears from the evidence of a number of church books.,42,8,519,537,Church history; Covenant; Religious studies; Style (visual arts); Ecclesiology; History,,,,,https://www.tandfonline.com/doi/full/10.1179/bqu.2008.42.8.003,http://dx.doi.org/10.1179/bqu.2008.42.8.003,,10.1179/bqu.2008.42.8.003,951942650,,0,,1,false,,
000-658-440-120-155,Church of England: Problems of Defining of Confessional Identity,,2017,journal article,Herald of Omsk University. Series: Historical studies,23121300,Dostoevsky Omsk State University,,V.N. Yerokhin,"<jats:p>The article deals with problems of study, description and defining of Church of England's confessional identification. The author shows that the Church of England occupies a special place among Protestant churches because doctrine and church administration of the Church of England preserved continuity with Roman Catholic Church most of all among Protestant churches. As a result there are reasons to maintain that Church of England represents an independent trend in Christianity which is not identical with Protestantism.</jats:p>",,1,51,53,Confessional; Identity (music); Sociology; Philosophy; Political science; Law; Aesthetics; Politics,,,,,,http://dx.doi.org/10.24147/2312-1300.2017.1.51-53,,10.24147/2312-1300.2017.1.51-53,,,0,,0,false,,
000-698-038-811-296,The Bulgarian Orthodox Church and Its Perception of the Bulgarian “Uniates”,2021-02-03,2021,book chapter,Pathways for Ecumenical and Interreligious Dialogue,26346591; 26346605,Springer International Publishing,,Vladislav Atanassov,"On the basis of a brief historical account of the Union’s genesis in Bulgaria and the development of relations between the Bulgarian Orthodox Church and the Eastern rite Catholics, as well as an analysis of the current situation of both churches, this chapter shows that the Bulgarian Orthodox Church today considers the Eastern rite Catholics neither as “stolen churches” nor as “bridges.” At present in Bulgaria there is rather a lack of interest in these churches and the related painful memories; however, this is not necessarily a negative factor since it contributes to the present nearly conflict-free relationship between the Bulgarian Orthodox Church and the Catholic Church.",,,141,159,Religious studies; Perception; Rite; Bulgarian; Bulgarian Orthodox Church; History,,,,,https://link.springer.com/chapter/10.1007/978-3-030-55442-2_8,http://dx.doi.org/10.1007/978-3-030-55442-2_8,,10.1007/978-3-030-55442-2_8,3128901071,,0,,0,false,,
001-000-008-812-393,From Internal to External Pluralism: The Anglican Metamorphosis,2013-01-01,2013,book chapter,Testing Pluralism,,BRILL,,William H. Swatos,"At the parish level, different congregations adopted relatively different styles of worship, generally united by the texts of the Book of Common Prayer. The Anglican Communion is relatively unique among ""worldwide"" churches, in the sense that its structure is primarily informal. The broad church movement was affected by larger societal population movements. All of the bishops of the Anglican Church in North America who were diocesan bishops in the Episcopal Church prior to the formation of the Anglican Church in North America were invited to the last Lambeth Conference. American Archbishop Louis Falk of the Anglican Catholic Church, which eventually merged with the American Episcopal Church to form the Anglican Church in America, became the first Primate of the Traditional Anglican Communion. In 2007 this body petitioned the Roman Catholic Church for full corporate union. Keywords: Anglican Church; Episcopal Church; Louis Falk; North America; Roman Catholic Church; Traditional Anglican Communion; worship",,,149,159,Church history; Protestantism; Art; Religious studies; Theology; Lambeth Conference; Bishops; Canonical hours; Eucharist; Canon law; Christianity,,,,,https://ixtheo.de/Record/1749355515,http://dx.doi.org/10.1163/9789004254756_010,,10.1163/9789004254756_010,2467588077,,0,,0,false,,
001-002-222-525-79X,Examining Church Capacity to Develop and Disseminate a Religiously Appropriate HIV Tool Kit with African American Churches,2012-07-20,2012,journal article,Journal of urban health : bulletin of the New York Academy of Medicine,14682869; 10993460,Springer Science and Business Media LLC,United States,Jannette Berkley-Patton; Carole Bowe Thompson; David A. Martinez; Starlyn M. Hawes; Erin W. Moore; Eric W. Williams; Cassandra Wainright,"Increasingly, African American churches have been called upon to assist in efforts to address HIV/AIDS in underserved communities. African Americans churches may be well-positioned to provide HIV education, screening, and support services, particularly if they are equipped with church-appropriate, easy-to-deliver HIV tools that can be implemented through the naturalistic church environment. To inform the development of a church-based HIV tool kit, we examined church capacity with African American church leaders (N = 124 participants; n = 58 churches represented by senior pastors). Nearly all participants (96%) wanted to learn more about HIV and how to discuss it with their parishioners. Regarding church capacity, most of their representative churches held three regular services each week, facilitated various inreach and community outreach ministries, and had paid staff and computers. Also, many of their churches facilitated HIV/AIDS education/prevention and adolescent sex education activities. Guided by church capacity findings, an ecological framework, and a CBPR approach, we describe the resulting church-based HIV Tool Kit that “fits” naturalistically within a multilevel church infrastructure, builds upon churches' HIV-related experience, and equips faith leaders to efficiently promote HIV services with the communities they serve.",90,3,482,499,Gender studies; Protestantism; Health education; Public health; Health informatics; Faith; Outreach; Acquired immunodeficiency syndrome (AIDS); Mass screening; Public relations; Medicine,,Adolescent; Adult; Black or African American; Aged; Clergy; Community-Institutional Relations; Female; HIV Infections/prevention & control; Health Education; Health Promotion/methods; Humans; Information Dissemination/methods; Male; Mass Screening; Middle Aged; Protestantism; United States; Young Adult,,NIMH NIH HHS (K01 MH082640) United States; NIMH NIH HHS (R01 MH068197) United States; NIMH NIH HHS (R01 MH68197-02S1) United States; NIMH NIH HHS (K01 MH082640-02) United States,http://www.ncbi.nlm.nih.gov/pubmed/22815053 http://www.kcfaithinitiative.org/Examining%20Church%20Capacity.pdf https://link.springer.com/article/10.1007%2Fs11524-012-9740-4 https://pubmed.ncbi.nlm.nih.gov/22815053/ https://link.springer.com/article/10.1007/s11524-012-9740-4/fulltext.html http://europepmc.org/articles/PMC3665971,http://dx.doi.org/10.1007/s11524-012-9740-4,22815053,10.1007/s11524-012-9740-4,2009471648,PMC3665971,0,002-197-329-363-785; 004-440-093-963-943; 004-448-097-019-470; 009-168-693-957-127; 010-075-656-155-929; 010-194-316-259-600; 012-159-456-030-161; 013-500-837-160-974; 016-994-001-366-448; 023-180-302-955-597; 026-566-168-618-266; 027-058-905-437-285; 033-741-811-695-797; 037-477-061-936-226; 037-950-954-736-003; 038-484-567-213-203; 039-123-458-421-233; 042-178-112-531-343; 044-109-416-034-93X; 046-716-174-963-37X; 055-575-613-424-205; 062-338-641-746-863; 065-672-835-703-485; 085-496-812-633-58X; 086-589-909-052-545; 087-149-594-355-45X; 091-443-682-587-834; 092-150-104-275-035; 094-090-644-100-675; 094-441-250-051-366; 097-558-544-093-72X; 101-371-153-143-833; 108-314-726-805-050; 141-807-652-318-832; 150-599-345-731-259; 160-081-615-592-313; 163-441-978-167-629; 166-173-122-804-265; 177-573-961-407-406; 199-344-800-524-432,59,true,,green
001-211-510-082-20X,The Church: Towards a Common Vision,2015-09-11,2015,journal article,Exchange,01662740; 1572543x,Walter de Gruyter GmbH,Netherlands,Radu Bordeianu,"The 2013 convergence document, The Church: Towards a Common Vision ( CTCV ) incorporates several aspects of the response of the Napa Inter-Orthodox Consultation to The Nature and Mission of the Church ( NMC ) which, as its subtitle suggests, was A Stage on the Way to a Common Statement , namely The Church . Eastern and Oriental Orthodox responders (jointly!) point to the imprecise use of the term, ‘church’, the World Council of Churches ( WCC )’s understanding of ‘the limits of the Church’, and to the ‘branch theory’ implicit in NMC , an ecclesiology toned down in CTCV . Bordeianu proposes a subjective recognition of the fullness of the church in one’s community as a possible way forward. Simultaneously, Orthodox representatives have grown into a common, ecumenical understanding of the relationship between the Kingdom of God and the church’s work for justice; attentiveness to the role of women in the church; and accepting new forms of teaching authority in an ecumenical context. The positions of various churches are no longer parallel monologues, but reflect earnest change and convergence.",44,3,231,249,Kingdom; Economic Justice; Sociology; Law; Statement (logic); Ecumenism; Context (language use); Subtitle; Ecclesiology; Convergence (relationship),,,,,https://booksandjournals.brillonline.com/content/journals/10.1163/1572543x-12341366 https://brill.com/view/journals/exch/44/3/article-p231_2.xml?language=en,http://dx.doi.org/10.1163/1572543x-12341366,,10.1163/1572543x-12341366,2948775422,,0,,2,false,,
001-348-098-568-394,초기교회 여성사역과 오늘날의 과제,2010-11-01,2010,,,,,,null 양병모,"The early churches, as the successor of Jesus’ ministry, could be a model or prototype for today’s church ministry. Reviewing the early churches’ view of women’s ministry is able to teach the today’s church significantly. An effective criterion to review the women’s ministry inthe early churches is the time of institutionalization of the church. Around during first and second centuries, churches were not fully institutionalized and their women’s ministries were as equal as men’s in most ministerial areas. Women actively served the churches as disciples, apostles, prophetesses, and teachers. During the third and fourth centuries, Christian churches went through the process of institutionalization deeply and the churches tried to fit themselves intothe Roman society in which women were very discriminated. Regardless enormous prejudicial obstacles, women ministers served the churches as deaconess, widows), virgins, teachers, and martyrs. Women’s ministry in the early churches gives the following valuable lessons for today’s Evangelical churches in Korea. First, according to the Bible and good early churches’ traditions, Korean Evangelical churches need to remove the several sexual discriminations for women ministers. Secondly, Korean women ministers need to develop their unique ministerial areas very hard. Thirdly, educational institutions in theology should provide the appropriate education for women students in both theoretical and practical areas.",22,,9,36,Institutionalisation; Political science; Law; Apostles; Christian ministry; Successor cardinal,,,,,https://www.earticle.net/Article/A129748,https://www.earticle.net/Article/A129748,,,3182751417,,0,,0,false,,
001-853-113-846-100,Abstract 114: Potential Risk Factors for Worsening Abdominal Well-Being after Abdominal Flap Breast Reconstruction: There’s No Such Thing As a Free Tummy Tuck,,2017,journal article,Plastic and Reconstructive Surgery - Global Open,21697574,Ovid Technologies (Wolters Kluwer Health),,Meredith L. Meyer; Ricardo J. Bello; Charalampos Siotos; Mohamad E. Sebai; Rachael M. Payne; Michele A. Manahan; Justin M. Sacks; Carisa M. Cooney; Gedge D. Rosson,,5,4S,83,84,Surgery; Breast reconstruction; Potential risk; Medicine,,,,,http://europepmc.org/articles/PMC5417966 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5417966/,http://dx.doi.org/10.1097/01.gox.0000516633.03149.0d,,10.1097/01.gox.0000516633.03149.0d,2609414062,,0,,0,true,cc-by-nc-nd,gold
002-183-943-031-513,Grundriss der trinitarischen Communio-Ekklesiologie: Die Kirche als Sakrament der Communio Gottes,2018-12-30,2018,journal article,Studia Universitatis Babeș-Bolyai Theologia Catholica Latina,2065944x; 15822524,Babes-Bolyai University Cluj-Napoca,,János Vik,"<jats:p>A floor plan of the trinitarian communion ecclesiology: the Church as the sacrament of communion with God. This essay sets itself the task to critically present a layout of the Second Vatican Council’s definition of the Church that understands the Church as the community of believers and the sacrament of communion with God, as well as states the essential relationship of the Church to the triune God. In this sense, the Church understands herself as the ultimate goal of creation, the ultimate fulfillment of God’s – the Father’s – will of salvation. The relationship of the Church to Jesus Christ is constitutive, insofar as the Church on the one hand comes entirely from Christ and is constantly related to him, and on the other hand the Church differs from him. The saving action of God in the ministry of Jesus Christ is enlivened and accomplished by the Holy Spirit. This makes the Church the sacrament of salvation by the Holy Spirit.</jats:p>",63,2,98,125,,,,,,http://dx.doi.org/10.24193/theol.cath.latina.2018.lxiii.2.05,http://dx.doi.org/10.24193/theol.cath.latina.2018.lxiii.2.05,,10.24193/theol.cath.latina.2018.lxiii.2.05,2913284873,,0,,0,false,,
002-589-578-015-506,New Independent Methodist Movements in Southern Africa,1994-01-01,1994,book chapter,Afro-Christianity at the Grassroots,,BRILL,,D. Balia,"This study reflects on the emergence of some independent churches from within the ranks of Methodism during this century. The churches which come under discussion are the Independent Methodist Church in Swaziland, the Bantu Methodist Church on the Witwatersrand, the United Methodist Church in the Transkei, and the Black Methodist Consultation (BMC). The latter is discussed in more detail. Issues addressed are white racism in the Methodist Church, black awareness, black spirituality and the development of black leadership in the BMC which exists as an autonomous movement within the Methodist Church structure.",,,23,36,Methodism; Bantu languages; Black church; Spirituality; Racism; White (mutation); Movement (music); History; Religious studies; Gender studies; Sociology; Ethnology; Art; African american; Philosophy; Aesthetics; Medicine; Gene; Alternative medicine; Pathology; Linguistics; Chemistry; Biochemistry,,,,,,http://dx.doi.org/10.1163/9789004664586_006,,10.1163/9789004664586_006,,,0,,1,false,,
002-695-164-386-576,THE SIGNIFICANCE OF PREOPERATIVE SPIROMETRY IN ACCURATELY STRATIFYING THE PREDICTED RISK FOR ADVERSE OUTCOMES IN CARDIAC SURGERY PATIENTS,,2009,journal article,Chest,00123692,Elsevier BV,United States,Niv Ad; James P. Lamberti; Linda Henry; Linda Halpin; Sharon A. Hunt; Scott D. Barnett; Alan M. Speir; Pamela Crippen,,136,4,11,,Internal medicine; Cardiology; Emergency medicine; Cardiac surgery; Spirometry; Cardiac Surgery procedures; Adverse outcomes; Medicine,,,,,http://journal.publications.chestnet.org/article.aspx?articleid=1095855 https://journal.publications.chestnet.org/article.aspx?articleid=1095855 https://www.sciencedirect.com/science/article/pii/S0012369216476932 https://journal.chestnet.org/article/S0012-3692(16)47693-2/fulltext,http://dx.doi.org/10.1378/chest.136.4_meetingabstracts.11s-i,,10.1378/chest.136.4_meetingabstracts.11s-i,2091314007,,0,,0,false,,
002-990-304-053-354,Is Religion Declining,,1991,book chapter,Society Today 2,,Macmillan Education UK,,Patrick McNeill,"On Christmas Eve, our local free newspaper carried advertisements for religious services at the Parish Church (Church of England), the Methodist Church, the Baptist Church, the Catholic Church, the Evangelical Church, the Free Evangelical Baptist Church, the Marley Chapel and the United Reformed Church.",,,21,23,Newspaper; Religious studies; Chapel; United Reformed Church; History,,,,,https://rd.springer.com/chapter/10.1007/978-1-349-12065-9_7 https://link.springer.com/chapter/10.1007/978-1-349-12065-9_7,http://dx.doi.org/10.1007/978-1-349-12065-9_7,,10.1007/978-1-349-12065-9_7,2341909388,,0,,0,false,,
003-014-852-986-84X,"Censuses of Religious Bodies, 1906-1936",1984-03-18,1984,dataset,ICPSR Data Holdings,,Inter-university Consortium for Political and Social Research (ICPSR),," Bureau of the Census","This data collection provides county- and state-level information on the number of members of a variety of religious organizations and groups in the United States between 1906 and 1936. The variables in this collection provide the names of these groups and organizations, which include the Advent Christian Church, Southern and National Convention Baptist churches, Buddhist (Japanese) temples, Evangelical Association, Jewish congregations, Greek Orthodox Church, Mennonite Church, Friends Church, Pentecostal Church of the Nazarene, Polish National Church, Roman Catholic Church, Salvation Army, Seventh Day Adventist, The Church of Jesus Christ of Latter-Day Saints, Russian Eastern Orthodox Church, Mennonite General Conference, Hungarian Reformed Church, Unitarian Church, Negro Baptist Church, and Evangelical Church.",,,,,Genealogy; Geography; History,,,,,,http://dx.doi.org/10.3886/icpsr00008,,10.3886/icpsr00008,,,0,,1,true,,green
003-172-408-961-199,Das Subjektsein der Kirchen im Kontext einer trinitarischen Communio-Ekklesiologie,2020-06-30,2020,journal article,Studia Universitatis Babeș-Bolyai Theologia Catholica Latina,2065944x; 15822524,Babes-Bolyai University Cluj-Napoca,,János Vik,"<jats:p>The Subjectivity of the Churches in the Context of a Trinitarian Communio-Ecclesiology. Since the Second Vatican Council, the local Church is no longer regarded as an imperfect part of the universal Church. Rather, the one Church of God is present in every liturgical act of the local Church. The communion of the local Churches (communio ecclesiarum), legitimately marked by their respective traditions and cultures, means unity in diversity and difference. The realization of the program of „participatio actuosa“, i.e. the subject becoming of all in the Church, is in mutual relation to the realization of the communio ecclesiology.</jats:p>",65,1,78,90,,,,,,http://dx.doi.org/10.24193/theol.cath.latina.2020.lxv.1.05,http://dx.doi.org/10.24193/theol.cath.latina.2020.lxv.1.05,,10.24193/theol.cath.latina.2020.lxv.1.05,3039427912,,0,,0,false,,
003-225-599-511-583,Disability and Demonstrating Christian Commitment,2013-12-13,2013,journal article,Ecclesiastical Law Journal,0956618x; 17518539,Cambridge University Press (CUP),United Kingdom,Andrea Loux Jarman,"<jats:p>Community lies at the heart of both church and school life in the Church of England. In some areas, church communities are sustained by families who choose to attend a particular church based on the quality of the church school in its parish. Many Voluntary Aided Church of England schools (church schools) give priority admission to parents on the basis of faith in the oversubscription criteria of their admission arrangements. While the Church stresses inclusiveness in its recommendations regarding admissions policies to church schools, where a church school is very popular and oversubscribed arguably priority must be given to parents of the faith in the school's catchment area. Otherwise parishioner children whose families regularly attend church could fail to be admitted to their local church school because of competition for places.</jats:p>",16,1,57,65,Gender studies; Developmental psychology; Political science,,,,,https://www.cambridge.org/core/journals/ecclesiastical-law-journal/article/disability-and-demonstrating-christian-commitment/478AF063C3A5893FFCD1F8DBE9DE9697,http://dx.doi.org/10.1017/s0956618x13000823,,10.1017/s0956618x13000823,2319192881,,0,014-178-858-824-569; 060-180-273-016-962,0,false,,
003-227-221-932-721,"Christ, Church, and World",,2021,book,,,Lexington Books,,Theodore J. Hopkins,"<p>As the North American church struggles to navigate the emerging post-Christian context, Theodore J. Hopkins argues that the church is identified by three fundamental relationships: Christ-church-world. By attending to the Christological center of Dietrich Bonhoeffer’s theology, Hopkins establishes a framework for the church’s mission in the world that flows from Christ’s relationship to the church and his relationship to the world. This Christological framework also illuminates the changing relationship between the church and the world in Bonhoeffer’s works, such that Discipleship seems to demarcate the church from the world while Ethics seems to unite church and world in one Christ-reality. Following Bonhoeffer, Hopkins contends that the church is both distinct from the world and in solidarity with it in the dynamic of the crucified Lord Jesus who took the form of a servant and is present in Word, Sacrament, and community as the Risen One. Hopkins envisions the church within the story of Jesus so that preaching and teaching the Gospel identifies the church and calls it to faithfulness in Christ’s own mission. The church is formed to see itself and the world in Jesus and enabled to follow Christ’s mission of witness and service in the world.</p>",,,,,History; Art,,,,,,http://dx.doi.org/10.5771/9781978708594,,10.5771/9781978708594,,,0,,0,false,,
003-235-765-401-056,Finding the way forward: re-introducing the practice of discernment as a means of determining God's direction for the Church of God reformation movement,,2013,,,,,,Bruce W. Steffensen,VII CHAPTER ONE: PROBLEM 1 COMPETING SOURCES OF IDENTITY IN CHURCHES 2 Church as a Business 2 Church as a Building 5 IDENTITY ISSUES SPECIFIC TO THE CHURCH OF GOD 8 Fading into the Crowd 8 Local Autonomy 11 Separation from the World 14 SUMMARY 21 CHAPTER TWO: OTHER APPROACHES 23 LOCAL CHURCH APPROACHES 23 DENOMINATIONAL LEVEL APPROACHES 24 The Presbyterian Church 25 The United Methodist Church 28 The Southern Baptists 35 The Church of God National Offices 40 LESSONS 41 CHAPTER THREE: THESIS 43 LEADERSHIP CHALLENGES 43 CHARACTERISTICS OF THE CHURCH OF GOD 46 The Discernment Process in Scripture 46 Suspicious of Authoritative Structures 51,,,,,Philosophy; Law; Identity (social science); Local church; Discernment; Movement (music); Local autonomy; Art history,,,,,https://digitalcommons.georgefox.edu/cgi/viewcontent.cgi?article=1059&context=dmin https://digitalcommons.georgefox.edu/dmin/60/,https://digitalcommons.georgefox.edu/dmin/60/,,,642725214,,0,008-016-603-058-664; 009-136-396-721-410; 015-102-376-413-332; 017-731-100-847-310; 064-800-079-908-748; 074-920-706-938-444; 078-373-757-813-559; 086-233-349-237-498; 088-317-380-872-570; 139-523-688-264-083; 141-965-852-725-794; 152-265-443-764-25X; 179-567-816-891-117; 194-526-571-984-835; 197-234-241-299-979; 199-487-485-930-50X,0,false,,
003-358-139-208-021,Philanthropy in a secular society,,2016,,Research Papers in Economics,,,,Benjamin Bittschi; Sarah Borgloh; Berthold U. Wigger,"In this study we investigate the relationship between religious and charitable giving. We test how income, the tax-price of giving and the German church tax, differently affect charitable donations of church members, individuals leaving church and nonchurch members. We find crowding in between the church tax and charitable giving for church members, but not for the church-leavers. In contrast to church members, donations of church-leavers and non-members are also highly responsive to the tax deductibility. Additionally, non-donors exhibit a significantly increased probability of leaving church compared to donors. Finally, we demonstrate that leaving church increases donations on the extensive margin but decrease giving along the intensive margin.",,,,,German; Political science; Margin (finance); Church tax; Crowding in; Affect (psychology); Demographic economics; Secularization,,,,,https://ideas.repec.org/p/zbw/zewdip/16021.html,https://ideas.repec.org/p/zbw/zewdip/16021.html,,,3124626745,,0,,0,false,,
